year,day,rpt_time,date,time,atmp_min,atmp_max,atmp_mint,atmp_maxt,relh_min,relh_max,relh_mint,relh_maxt,dwpt_min,dwpt_max,dwpt_mint,dwpt_maxt,pcpn,wspd_max,wspd_maxt,srad,sden_max,sden_maxt,stmp_05cm_min,stmp_05cm_max,stmp_05cm_mint,stmp_05cm_maxt,stmp_10cm_min,stmp_10cm_max,stmp_10cm_mint,stmp_10cm_maxt,stmp_20cm_min,stmp_20cm_max,stmp_20cm_mint,stmp_20cm_maxt,stmp_50cm_min,stmp_50cm_max,stmp_50cm_mint,stmp_50cm_maxt,smst_05cm_min,smst_05cm_max,smst_05cm_mint,smst_05cm_maxt,smst_10cm_min,smst_10cm_max,smst_10cm_mint,smst_10cm_maxt,smst_20cm_min,smst_20cm_max,smst_20cm_mint,smst_20cm_maxt,smst_50cm_min,smst_50cm_max,smst_50cm_mint,smst_50cm_maxt,volt_min,volt_mint,rpet,id
2019,121,2400,5/2/2019,0:00:00,4.048,11.19,1,1747,85.4,100,1810,1240,3.81,10.41,3,1457,24.64,9.7,233,4116.657,29.11,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.64,357,0.617,101
2019,122,2400,5/3/2019,0:00:00,4.756,8.44,553,1606,94.9,100,1609,333,4.623,8.34,126,1754,12.7,4.7,1815,3793.71,12.03,1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,632,0.553,102
2019,123,2400,5/4/2019,0:00:00,4.868,14.28,903,1717,49.22,100,1719,2400,3.233,9.29,1825,1155,0,5.95,1050,13625.72,78.88,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,705,1.988,103
2019,124,2400,5/5/2019,0:00:00,4.262,19.06,545,1718,33.29,98.7,1453,650,0.355,6.771,1326,1612,0,7.45,1140,28242.53,57.89,1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,607,4.357,104
2019,125,2400,5/6/2019,0:00:00,4.16,21.42,707,1616,38.58,91.2,1611,721,1.956,9.92,650,1326,0,7.95,1508,25776.74,75.25,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.72,632,4.394,105
2019,126,2400,5/7/2019,0:00:00,8.24,13.62,431,12,59.4,96.8,12,1252,5.781,11.8,11,1357,5.334,4.95,2400,6845.536,68.1,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,546,1.117,106
2019,127,2400,5/8/2019,0:00:00,5.351,16.23,747,1844,29.09,85.7,1847,417,-2.475,6.574,823,2,0,5.7,537,18606.49,62.21,1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.71,628,3.215,107
2019,128,2400,5/9/2019,0:00:00,3.792,13.92,549,1818,38.21,70.05,1128,531,-3.072,3.802,1128,1940,0,13.95,2359,10747.2,52.03,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69,616,2.847,108
2019,129,2400,5/10/2019,0:00:00,6.967,18.3,2359,1505,52.54,98.6,2400,1352,1.668,16.35,2400,1505,26.67,13.95,33,7256.438,46.79,1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.58,639,1.359,109
2019,130,2400,5/11/2019,0:00:00,3.482,11.19,809,1835,46.58,96.6,1925,3,-1.489,6.501,2314,2400,0,9.45,1311,22642.91,89.3,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65,547,2.649,110
2019,131,2400,5/12/2019,0:00:00,0.745,12.23,628,1301,41.36,95.6,1145,638,-1.394,3.715,8,2239,0,5.7,1322,13012.67,50.93,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.64,547,2.118,111
2019,132,2400,5/13/2019,0:00:00,5.565,13.22,653,1442,51.97,83.9,1401,206,-1.6,6.262,806,1739,0,7.2,2052,10601.36,45.43,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.71,612,1.947,112
2019,133,2400,5/14/2019,0:00:00,5.592,16.45,2357,1540,36.95,87.3,1542,645,0.317,5.626,2024,939,0,8.7,1100,16490.79,78.59,1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.64,458,2.768,113
2019,134,2400,5/15/2019,0:00:00,2.051,20.13,625,1500,29,86.4,1309,634,-0.67,5.296,545,1450,0,6.95,1336,29371.79,61.73,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65,606,4.872,114
2019,135,2400,5/16/2019,0:00:00,7.394,22.51,412,1511,25,76.55,1734,2300,0.045,11.14,124,1115,0,8.7,1735,26106.18,83,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,615,4.815,115
2019,136,2400,5/17/2019,0:00:00,8,22.6,617,1628,61.72,97.6,1633,2344,4.844,16.45,605,1535,0,10.45,1405,14188.56,70.53,1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,604,2.495,116
2019,137,2400,5/18/2019,0:00:00,9.63,21.14,837,1514,25.57,97.9,1510,8,-0.036,13.21,1519,104,0,7.45,529,23835.88,61.98,1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,604,4.186,117
2019,138,2400,5/19/2019,0:00:00,8.8,21.32,512,1824,49.96,96.7,13,839,1.817,17.64,13,1944,1.27,7.7,915,12027.81,57.26,1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,600,2.09,118
2019,139,2400,5/20/2019,0:00:00,10.43,20.48,2345,1601,77.19,95.8,2011,853,8.3,18.04,2345,1107,21.08,12.7,1703,8919.864,75.94,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,558,1.603,119
2019,140,2400,5/21/2019,0:00:00,5.266,11.69,753,1914,55.41,95.7,1940,744,2.269,8.39,2344,2400,0,10.45,1208,11826.89,77.05,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.64,608,1.545,120
2019,141,2400,5/22/2019,0:00:00,2.788,17.92,550,1514,36.44,94.4,1510,705,1.517,6.686,420,1700,0,8.2,1126,21767.41,77.46,1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63,551,3.785,121
2019,142,2400,5/23/2019,0:00:00,8.7,22.63,542,1902,47.79,89.2,148,2355,1.771,16.09,148,2328,6.35,13.45,822,18322.16,82.2,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62,626,3.473,122
2019,143,2400,5/24/2019,0:00:00,11.58,20.37,2359,1630,51.42,96.7,1104,711,8.29,17.75,1104,520,7.62,11.7,1224,28139.16,76.33,1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,532,4.522,123
2019,144,2400,5/25/2019,0:00:00,8.1,16.84,500,1809,75.36,94.8,1950,650,7.135,13.74,409,1804,0.254,9.2,1622,7794.622,30.6,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69,541,1.39,124
2019,145,2400,5/26/2019,0:00:00,14.11,24.19,151,1650,67.91,97.5,1659,446,12.66,19.85,2400,1506,11.68,8.2,36,19378.11,80.9,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68,549,3.251,125
2019,146,2400,5/27/2019,0:00:00,12.67,24.39,548,1706,35.77,91.9,1715,306,7.231,14.73,2336,4,0,7.45,1822,23740.75,71.89,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.72,503,4.462,126
2019,147,2400,5/28/2019,0:00:00,9.6,22.6,555,1346,52.21,93.5,1542,2133,7.599,15.59,2400,1111,7.366,9.95,2319,16406.7,71.05,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,527,3.028,127
2019,148,2400,5/29/2019,0:00:00,11.32,15.9,921,1809,81.4,97.8,1816,819,10.92,13.36,921,1807,4.318,10.2,114,5667.033,22.11,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.67,432,1.017,128
